checkpoint,cohort,PMI,animal_within_PMI,organ,AWA_weight
fold4.pth,modeled_time_test,6.0,10,Heart,0.12500007450580597
fold4.pth,modeled_time_test,12.0,3,Heart,0.13926704227924347
fold4.pth,modeled_time_test,12.0,4,Heart,0.1310541033744812
fold4.pth,modeled_time_test,18.0,2,Heart,0.12747722864151
fold4.pth,modeled_time_test,18.0,6,Heart,0.1428564488887787
fold4.pth,modeled_time_test,24.0,3,Heart,0.125
fold4.pth,modeled_time_test,24.0,6,Heart,0.125
fold4.pth,unseen_time_test,0.33333,1,Heart,0.1250000149011612
fold4.pth,unseen_time_test,0.33333,2,Heart,0.125
fold4.pth,unseen_time_test,4.0,1,Heart,0.12500007450580597
fold4.pth,unseen_time_test,4.0,2,Heart,0.1250000149011612
fold4.pth,unseen_time_test,11.0,1,Heart,0.1250000149011612
fold4.pth,unseen_time_test,11.0,2,Heart,0.12500041723251343
fold4.pth,unseen_time_test,20.0,1,Heart,0.12554869055747986
fold4.pth,unseen_time_test,20.0,2,Heart,0.1250000149011612
fold5.pth,modeled_time_test,0.5,2,Heart,0.14284095168113708
fold5.pth,modeled_time_test,0.5,3,Heart,0.14285114407539368
fold5.pth,modeled_time_test,1.0,4,Heart,0.14284789562225342
fold5.pth,modeled_time_test,1.0,8,Heart,0.14284853637218475
fold5.pth,modeled_time_test,2.0,7,Heart,0.14283129572868347
fold5.pth,modeled_time_test,2.0,8,Heart,0.14277420938014984
fold5.pth,modeled_time_test,3.0,1,Heart,0.14280474185943604
fold5.pth,modeled_time_test,3.0,8,Heart,0.14285045862197876
fold5.pth,modeled_time_test,6.0,1,Heart,0.14281603693962097
fold5.pth,modeled_time_test,6.0,10,Heart,0.14284837245941162
fold5.pth,modeled_time_test,12.0,3,Heart,0.1428230255842209
fold5.pth,modeled_time_test,12.0,4,Heart,0.14276838302612305
fold5.pth,modeled_time_test,18.0,2,Heart,0.14271575212478638
fold5.pth,modeled_time_test,18.0,6,Heart,0.14277543127536774
fold5.pth,modeled_time_test,24.0,3,Heart,0.14248709380626678
fold5.pth,modeled_time_test,24.0,6,Heart,0.142145574092865
fold5.pth,unseen_time_test,0.33333,1,Heart,0.14284174144268036
fold5.pth,unseen_time_test,0.33333,2,Heart,0.14284805953502655
fold5.pth,unseen_time_test,4.0,1,Heart,0.14284895360469818
fold5.pth,unseen_time_test,4.0,2,Heart,0.14284983277320862
fold5.pth,unseen_time_test,11.0,1,Heart,0.1428488940000534
fold5.pth,unseen_time_test,11.0,2,Heart,0.1428416669368744
fold5.pth,unseen_time_test,20.0,1,Heart,0.14284707605838776
fold5.pth,unseen_time_test,20.0,2,Heart,0.12500198185443878
fold6.pth,modeled_time_test,0.5,2,Heart,0.13964176177978516
fold6.pth,modeled_time_test,0.5,3,Heart,0.12500381469726562
fold6.pth,modeled_time_test,1.0,4,Heart,0.1388586312532425
fold6.pth,modeled_time_test,1.0,8,Heart,0.13789835572242737
fold6.pth,modeled_time_test,2.0,7,Heart,0.13174830377101898
fold6.pth,modeled_time_test,2.0,8,Heart,0.14142769575119019
fold6.pth,modeled_time_test,3.0,1,Heart,0.1252964437007904
fold6.pth,modeled_time_test,3.0,8,Heart,0.13944122195243835
fold6.pth,modeled_time_test,6.0,1,Heart,0.12687985599040985
fold6.pth,modeled_time_test,6.0,10,Heart,0.12604151666164398
fold6.pth,modeled_time_test,12.0,3,Heart,0.13362182676792145
fold6.pth,modeled_time_test,12.0,4,Heart,0.13380154967308044
fold6.pth,modeled_time_test,18.0,2,Heart,0.13759076595306396
fold6.pth,modeled_time_test,18.0,6,Heart,0.13720214366912842
fold6.pth,modeled_time_test,24.0,3,Heart,0.1250002533197403
fold6.pth,modeled_time_test,24.0,6,Heart,0.12500528991222382
fold6.pth,unseen_time_test,0.33333,1,Heart,0.12518440186977386
fold6.pth,unseen_time_test,0.33333,2,Heart,0.12511946260929108
fold6.pth,unseen_time_test,4.0,1,Heart,0.12604685127735138
fold6.pth,unseen_time_test,4.0,2,Heart,0.12482114136219025
fold6.pth,unseen_time_test,11.0,1,Heart,0.12530891597270966
fold6.pth,unseen_time_test,11.0,2,Heart,0.13688290119171143
fold6.pth,unseen_time_test,20.0,1,Heart,0.136224165558815
fold6.pth,unseen_time_test,20.0,2,Heart,0.14293107390403748
